SECTION HEADERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventName,description,financialLesson,category,pool,requiredAsset,insuranceType,outcomeType,season,signal,severity,probability,weight,lossType,fixedLossAmount,minLossPercent,maxLossPercent,affectsIncome,incomePercentChange,incomeEffectMonths,cashReward,momentumReward,affectsExpenses,expenseCategory,expenseFlatChange,expenseEffectMonths,affectsHousehold,adultsLost,childrenLost,affectsLoan,borrowingPowerChange,startsChain,followUpChance,followUpDelay
(notes row — do not edit above this line),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breadwinner Injured,The main earner suffers a serious injury at work and cannot return for two months.,"""Personal accident cover pays a lump sum when the breadwinner can no longer work \u2014 it keeps the household going.""",Health,Health,None,Health,Negative,Any,Neutral,Major,4.0,8,FixedAmount,600.0,0.0,0.0,TRUE,-40.0,2,0.0,-2.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Clinic Fees,An unexpected medical visit adds unexpected costs.,Even when healthy you should always plan for unexpected health costs.,Health,Health,None,Health,Negative,Any,Disease,Minor,10.0,8,FixedAmount,100.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Emergency Surgery,An unexpected medical condition requires immediate surgery.,Serious health emergencies can be very expensive.,Health,Health,None,Health,Negative,Any,Disease,Major,4.0,8,CashOnHand,0.0,15.0,30.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.5,1
Extended Hospital Stay,A family member requires several days of hospital care.,Medical emergencies can lead to unexpected costs.,Health,Health,None,HospitalCash,Negative,Any,Disease,Moderate,7.0,10,CashOnHand,0.0,5.0,15.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Family Hospitalisation,A family member is admitted to hospital for several days for observation and treatment.,Hospital cash cover pays out daily during a hospital stay,Health,Health,None,HospitalCash,Negative,Any,Disease,Moderate,8.0,20,FixedAmount,400.0,0.0,0.0,FALSE,0.0,0,0.0,-1.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Food Poisoning,A short illness made you unable to go to work for a few days reducing your monthly pay.,Short shocks can hurt income.,Health,Health,None,Health,Negative,Any,Disease,Minor,8.0,8,FixedAmount,0.0,0.0,0.0,TRUE,-10.0,1,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Funeral Contribution,A neighbour or relative passed away. Community tradition requires a contribution.,Social obligations are real financial costs. Plan for them.,Health,Health,None,None,Negative,Any,Disease,Minor,20.0,8,FixedAmount,60.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Hospitalization,Unexpected hospital stay.,Medical savings matter.,Health,Health,None,Health,Negative,Any,Neutral,Major,4.0,8,FixedAmount,300.0,0.0,0.0,FALSE,0.0,0,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
Injury Prevents Work,Player cannot work.,Income interruption planning.,Health,Health,None,Health,Negative,Any,Neutral,Moderate,3.0,8,CashOnHand,0.0,0.0,0.0,TRUE,-25.0,3,0.0,0.0,FALSE,Transport,0.0,0,FALSE,0,0,FALSE,0.0,FALSE,0.0,0
